SEQAN	SHD	SWP	AF
65922.8	24760.9	440683.74	9974.44
66150.37	25225.58	449986.69	9981.63
66007.88	25079.11	446499.05	9850.56
66107.88	25019.11	446602.05	10000.65
62512.96	23560.06	425282.39	9232.54
62940.29	23821.32	426231.39	9455.09
60055.95	24260.67	432007.62	9558.94
60055.95	24260.67	456064.28	10045.98
66235.4	25087.79	455253.5	9677.25
66315.4	25057.79	455253.5	9932.27
