SEQAN	SHD	SWP	AF
16543.54	5527.68	118397.14	3656.39
15055.04	5418.53	117514.31	3573.98
16318.28	5484.2	117928.74	3599.36
16420.28	5455.2	118013.74	3627.26
14294.66	5140.13	111639.15	3406.06
15430.84	5128.59	110847.78	3406.82
16048.76	5409.69	115467.18	3522.10
16048.76	5409.69	115467.18	3605.14
16529.08	5381.17	116608.3	3569.54
16609.08	5371.17	116608.3	3578.95
