SEQAN	SHD	SWP	AF
6982.59	2377.73	57119.06	2368.63
6941.5	2331.71	56642.85	2300.11
7016.33	2366.84	57588.28	2337.16
7116.33	2245.84	57648.28	2312.97
6589.94	2225.39	54276.77	2207.40
6642.96	2205.47	54254.53	2187.80
7399.62	2310.38	56558.05	2266.05
7399.62	2310.38	56558.05	2316.82
7420.26	2344.23	56594.44	2336.39
7432.26	2341.23	56594.44	2333.87
