SEQAN	SHD	SWP	AF
887.9	255.86	8450.25	1420.37
886.36	257.55	8366.05	1355.48
886.13	257.51	8381.03	1449.37
887.29	256.81	8401.03	1381.81
927.2	242.32	7878.42	1319.26
955.42	240.23	8010.04	1339.87
948.88	252.08	8169.36	1381.52
948.88	252.08	8169.36	1417.52
971.94	257.39	8338.9	1385.51
977.94	253.39	8338.9	1388.19
