SEQAN	SHD	SWP	AF
2884.36	911.81	25043.45	1719.48
2888.97	914.31	25353.44	1639.59
3142.18	920.71	25267.42	1700.45
3156.18	911.80	25287.42	1684.42
3014.36	865.96	23937.91	1602.76
3173.43	870.63	24088.75	1593.93
3158.25	900.04	25104.99	1652.71
3158.25	900.04	25104.99	1709.31
3146.55	910.97	25186.18	1677.71
3156.55	906.97	25186.18	1715.47
